date,value
1971-02,864.3
1971-03,862.7
1971-04,862.5
1971-05,862.8
1971-06,862.6
1971-07,862.3
1971-08,861.3
1971-09,860.8
1971-10,860.8
1971-11,861.7
1971-12,863.5
1972-01,866.1
1972-02,868.7
1972-03,870.7
1972-04,872
1972-05,873.1
1972-06,873.7
1972-07,875
1972-08,876.7
1972-09,878.3
1972-10,879.8
1972-11,881.9
1972-12,884.4
1973-01,887.7
1973-02,890.6
1973-03,893.1
1973-04,894.1
1973-05,894.2
1973-06,893.8
1973-07,893.4
1973-08,893.7
1973-09,894
1973-10,894.1
1973-11,893.9
1973-12,893.6
1974-01,892.8
1974-02,891.6
1974-03,890.9
1974-04,890
1974-05,889.6
1974-06,889
1974-07,888.7
1974-08,888.1
1974-09,887.1
1974-10,885.3
1974-11,883.5
1974-12,881.4
1975-01,879
1975-02,876.9
1975-03,874.8
1975-04,873.1
1975-05,871.4
1975-06,870.1
1975-07,868.9
1975-08,867.4
1975-09,865.9
1975-10,864.7
1975-11,863.6
1975-12,862.7
1976-01,861.5
1976-02,860.8
1976-03,860.2
1976-04,860.2
1976-05,860.1
1976-06,860.3
1976-07,860.6
1976-08,861
1976-09,861.6
1976-10,862.4
1976-11,863.4
1976-12,864.3
1977-01,864.9
1977-02,865.6
1977-03,866
1977-04,866.2
1977-05,866.7
1977-06,866.7
1977-07,867.2
1977-08,867.3
1977-09,867.6
1977-10,867.7
1977-11,867.8
1977-12,868.1
1978-01,868.4
1978-02,869
1978-03,869.5
1978-04,869.8
1978-05,870.2
1978-06,870.6
1978-07,871.2
1978-08,872
1978-09,873.4
1978-10,874.9
1978-11,876.6
1978-12,877.6
1979-01,878.3
1979-02,878.6
1979-03,878.8
1979-04,879.2
1979-05,879.6
1979-06,880.1
1979-07,880.5
1979-08,880.6
1979-09,880.5
1979-10,880.3
1979-11,879.8
1979-12,878.7
1980-01,877.1
1980-02,875.1
1980-03,873.1
1980-04,870.7
1980-05,868.2
1980-06,865.3
1980-07,861.6
1980-08,857.4
1980-09,853.2
1980-10,848.7
1980-11,844.6
1980-12,840.3
1981-01,836.4
1981-02,832.8
1981-03,829.6
1981-04,826.5
1981-05,823.7
1981-06,821.5
1981-07,819.5
1981-08,817.8
1981-09,816.2
1981-10,814.4
1981-11,812.7
1981-12,811.5
1982-01,810.6
1982-02,810.2
1982-03,809.4
1982-04,808.5
1982-05,807
1982-06,805.7
1982-07,804.2
1982-08,802.2
1982-09,800.2
1982-10,798.2
1982-11,796.3
1982-12,794.5
1983-01,792.9
1983-02,791.7
1983-03,791.1
1983-04,790.5
1983-05,790.8
1983-06,792
1983-07,793.8
1983-08,796.1
1983-09,798.6
1983-10,801
1983-11,802.8
1983-12,804.8
1984-01,806.5
1984-02,808.2
1984-03,810
1984-04,811.7
1984-05,813.4
1984-06,814.8
1984-07,816.2
1984-08,817.7
1984-09,819.1
1984-10,820.5
1984-11,821.9
1984-12,823.1
1985-01,824
1985-02,825
1985-03,825.9
1985-04,826.3
1985-05,826.6
1985-06,827
1985-07,827.5
1985-08,827.6
1985-09,827.6
1985-10,827.9
1985-11,827.7
1985-12,827.3
1986-01,827.4
