Entity,Year,production|Copper|Mine|tonnes
Australia,1970,157790
Australia,1971,177261
Australia,1972,185843
Australia,1973,220335
Australia,1974,251340
Australia,1975,218961
Australia,1976,218480
Australia,1977,221579
Australia,1978,222111
Australia,1979,237614
Australia,1980,243541
Australia,1981,231339
Australia,1982,245322
Australia,1983,261476
Australia,1984,235671
Australia,1985,259765
Australia,1986,248368
Australia,1987,232695
Australia,1988,243800
Australia,1989,296000
Australia,1990,330000
Australia,1991,320000
Australia,1992,378000
Australia,1993,430000
Australia,1994,418000
Australia,1995,379000
Australia,1996,548000
Australia,1997,549000
Australia,1998,619000
Australia,1999,741000
Australia,2000,832000
Australia,2001,896000
Australia,2002,879000
Australia,2003,830000
Australia,2004,854000
Australia,2005,928217
Australia,2006,878874
Australia,2007,862535
Australia,2008,878940
Australia,2009,855892
Australia,2010,871963
Australia,2011,960649
Australia,2012,921390
Australia,2013,1000999
Australia,2014,978534
Australia,2015,995881
Australia,2016,947555
Australia,2017,849121
Australia,2018,910896
Australia,2019,925157
Australia,2020,885000
Australia,2021,813000
Australia,2022,819000
Australia,2023,810000
Chile,1970,685600
Chile,1971,708300
Chile,1972,716900
Chile,1973,735400
Chile,1974,899700
Chile,1975,828300
Chile,1976,1005200
Chile,1977,1056200
Chile,1978,1034200
Chile,1979,1062700
Chile,1980,1067900
Chile,1981,1081100
Chile,1982,1242200
Chile,1983,1257500
Chile,1984,1290700
Chile,1985,1356400
Chile,1986,1401100
Chile,1987,1418100
Chile,1988,1451000
Chile,1989,1609300
Chile,1990,1588400
Chile,1991,1814300
Chile,1992,1932700
Chile,1993,2055400
Chile,1994,2219900
Chile,1995,2488600
Chile,1996,3115800
Chile,1997,3392000
Chile,1998,3686900
Chile,1999,4391200
Chile,2000,4602000
Chile,2001,4739000
Chile,2002,4580600
Chile,2003,4904200
Chile,2004,5412500
Chile,2005,5320500
Chile,2006,5360800
Chile,2007,5557000
Chile,2008,5327600
Chile,2009,5394400
Chile,2010,5418900
Chile,2011,5262800
Chile,2012,5433900
Chile,2013,5776000
Chile,2014,5761100
Chile,2015,5772100
Chile,2016,5552600
Chile,2017,5503500
Chile,2018,5831600
Chile,2019,5787400
Chile,2020,5730000
Chile,2021,5620000
Chile,2022,5330000
Chile,2023,5000000
China,1972,115000
China,1973,120000
China,1974,130000
China,1975,140000
China,1976,150000
China,1977,155000
China,1978,160000
China,1979,160000
China,1980,165000
China,1981,170000
China,1982,175000
China,1983,175000
China,1984,240000
China,1985,270000
China,1986,300000
China,1987,350000
China,1988,370000
China,1989,544000
China,1990,557000
China,1991,304000
China,1992,334300
China,1993,345695
China,1994,395630
China,1995,441900
China,1996,436400
China,1997,495500
China,1998,486800
China,1999,520100
China,2000,592600
China,2001,587000
China,2002,578100
China,2003,614400
China,2004,754200
China,2005,776000
China,2006,889000
China,2007,946200
China,2008,1092700
China,2009,1062000
China,2010,1155800
China,2011,1294700
China,2012,1576800
China,2013,1715150
China,2014,1776794
China,2015,1712065
China,2016,1900188
China,2017,1706400
China,2018,1615234
China,2019,1683700
China,2020,1720000
China,2021,1910000
China,2022,1940000
China,2023,1700000
United States,1970,1560038
United States,1971,1380894
United States,1972,1510318
United States,1973,1558489
United States,1974,1448776
United States,1975,1282184
United States,1976,1456564
United States,1977,1364375
United States,1978,1357587
United States,1979,1446586
United States,1980,1181116
United States,1981,1538160
United States,1982,1146975
United States,1983,1038098
United States,1984,1102613
United States,1985,1102600
United States,1986,1147277
United States,1987,1243596
United States,1988,1416928
United States,1989,1497818
United States,1990,1587742
United States,1991,1631078
United States,1992,1764756
United States,1993,1801382
United States,1994,1850000
United States,1995,1849100
United States,1996,1918300
United States,1997,1939600
United States,1998,1859400
United States,1999,1626400
United States,2000,1444100
United States,2001,1338600
United States,2002,1142400
United States,2003,1116000
United States,2004,1160000
United States,2005,1140000
United States,2006,1197000
United States,2007,1170000
United States,2008,1310000
United States,2009,1180000
United States,2010,1110000
United States,2011,1112900
United States,2012,1166800
United States,2013,1278200
United States,2014,1384700
United States,2015,1380000
United States,2016,1430000
United States,2017,1260000
United States,2018,1220000
United States,2019,1260000
United States,2020,1200000
United States,2021,1230000
United States,2022,1230000
United States,2023,1100000
