Parliament number,Parliament summoned on,Parliament dissolved on,Parliament Wikidata ID,Parliament London Gazette citation,Parliament URL,General election polling date,General election is notional,Total electorate in general election,Total valid votes in general election,Total invalid votes in general election,General election URL,Country name,Country geographic code,Country URL,English region name,English region geographic code,English region URL,Constituency name,Constituency geographic code,Constituency designation,Constituency URL,Boundary set start date,Boundary set end date,Boundary set URL,Electorate,Election polling date,Election is by-election,Declaration time,Election valid vote count,Election invalid vote count,Election URL,Election result summary,Candidate family name,Candidate given name,Candidate MNIS ID,Candidate is sitting MP,Candidate is former MP,Candidate Member URL,Main party name,Main party abbreviation,Main party MNIS ID,Main party URL,Adjunct party name,Adjunct party abbreviation,Candidate is standing as Commons Speaker,Candidate is standing as independent,Candidate vote count,Candidate vote share,Candidate vote change,Majority,Candidate result position
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Blackman","Kirsty",4357,true,true,https://electionresults.parliament.uk/members/4357,"Scottish National Party",SNP,29,https://electionresults.parliament.uk/political-parties/11,"",,false,false,14533,0.345243,-0.183733,1760,1
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Thomson","Lynn",,false,false,,"Labour",Lab,15,https://electionresults.parliament.uk/political-parties/3,"",,false,false,12773,0.303433,0.183637,,2
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Tebberen","Gillian",,false,false,,"Conservative",Con,4,https://electionresults.parliament.uk/political-parties/1,"",,false,false,5881,0.139708,-0.105789,,3
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Leggat","Kenneth",,false,false,,"Reform UK",RUK,1036,https://electionresults.parliament.uk/political-parties/257,"",,false,false,3781,0.089821,0.073602,,4
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Bouse","Desmond",,false,false,,"Liberal Democrat",LD,17,https://electionresults.parliament.uk/political-parties/4,"",,false,false,2583,0.061361,-0.015942,,5
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Houston","Esme",,false,false,,"Scottish Green Party",Green,1057,https://electionresults.parliament.uk/political-parties/255,"",,false,false,1275,0.030289,0.01808,,6
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Abel","Charlie",,false,false,,"Alba Party",Alba,1034,https://electionresults.parliament.uk/political-parties/258,"",,false,false,703,0.0167,,,7
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Smith","Dawn",,false,false,,"Scottish Family Party",SFP,1016,https://electionresults.parliament.uk/political-parties/165,"",,false,false,352,0.008362,,,8
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen North",S14000060,Burgh,https://electionresults.parliament.uk/constituency-areas/652,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,75925,2024-07-04,false,,42095,115,https://electionresults.parliament.uk/elections/3252,SNP hold,"Grant","Lucas",,false,false,,"Trade Unionist and Socialist Coalition",TUSC,157,https://electionresults.parliament.uk/political-parties/7,"",,false,false,214,0.005084,,,9
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeenshire North and Moray East",S14000062,County,https://electionresults.parliament.uk/constituency-areas/654,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,70058,2024-07-04,false,,38188,170,https://electionresults.parliament.uk/elections/3254,SNP gain from Con,"Logan","Seamus",5280,false,false,https://electionresults.parliament.uk/members/5280,"Scottish National Party",SNP,29,https://electionresults.parliament.uk/political-parties/11,"",,false,false,13455,0.352336,-0.078577,942,1
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeenshire North and Moray East",S14000062,County,https://electionresults.parliament.uk/constituency-areas/654,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,70058,2024-07-04,false,,38188,170,https://electionresults.parliament.uk/elections/3254,SNP gain from Con,"Ross","Douglas",4627,true,true,https://electionresults.parliament.uk/members/4627,"Conservative",Con,4,https://electionresults.parliament.uk/political-parties/1,"",,false,false,12513,0.327668,-0.15552,,2
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeenshire North and Moray East",S14000062,County,https://electionresults.parliament.uk/constituency-areas/654,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,70058,2024-07-04,false,,38188,170,https://electionresults.parliament.uk/elections/3254,SNP gain from Con,"Hart","Jo",,false,false,,"Reform UK",RUK,1036,https://electionresults.parliament.uk/political-parties/257,"",,false,false,5562,0.145648,,,3
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeenshire North and Moray East",S14000062,County,https://electionresults.parliament.uk/constituency-areas/654,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,70058,2024-07-04,false,,38188,170,https://electionresults.parliament.uk/elections/3254,SNP gain from Con,"Brown","Andy",,false,false,,"Labour",Lab,15,https://electionresults.parliament.uk/political-parties/3,"",,false,false,3876,0.101498,0.05979,,4
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeenshire North and Moray East",S14000062,County,https://electionresults.parliament.uk/constituency-areas/654,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,70058,2024-07-04,false,,38188,170,https://electionresults.parliament.uk/elections/3254,SNP gain from Con,"Bailey","Ian",,false,false,,"Liberal Democrat",LD,17,https://electionresults.parliament.uk/political-parties/4,"",,false,false,2782,0.07285,0.028658,,5
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Flynn","Stephen",4735,true,true,https://electionresults.parliament.uk/members/4735,"Scottish National Party",SNP,29,https://electionresults.parliament.uk/political-parties/11,"",,false,false,15213,0.328255,-0.124336,3758,1
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Malik","Mohammad",,false,false,,"Labour",Lab,15,https://electionresults.parliament.uk/political-parties/3,"",,false,false,11455,0.247168,0.159495,,2
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Wheeler","John",,false,false,,"Conservative",Con,4,https://electionresults.parliament.uk/political-parties/1,"",,false,false,11300,0.243823,-0.099766,,3
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Pearce","Michael",,false,false,,"Reform UK",RUK,1036,https://electionresults.parliament.uk/political-parties/257,"",,false,false,3199,0.069026,0.065135,,4
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Goodhall","Jeff",,false,false,,"Liberal Democrat",LD,17,https://electionresults.parliament.uk/political-parties/4,"",,false,false,2921,0.063027,-0.04388,,5
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Ingerson","Guy",,false,false,,"Scottish Green Party",Green,1057,https://electionresults.parliament.uk/political-parties/255,"",,false,false,1609,0.034718,0.029371,,6
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Craib","Graeme",,false,false,,"Scottish Family Party",SFP,1016,https://electionresults.parliament.uk/political-parties/165,"",,false,false,423,0.009127,,,7
59,2024-07-09,,Q126063704,,https://electionresults.parliament.uk/parliament-periods/59,2024-07-04,false,48224212,28809340,116253,https://electionresults.parliament.uk/general-elections/6,Scotland,S92000003,https://electionresults.parliament.uk/countries/5,"",,,"Aberdeen South",S14000061,Burgh,https://electionresults.parliament.uk/constituency-areas/653,2024-05-31,,https://electionresults.parliament.uk/boundary-sets/3,77328,2024-07-04,false,,46345,178,https://electionresults.parliament.uk/elections/3253,SNP hold,"Molly","Sophie",,false,false,,"",,,,"",,false,true,225,0.004855,,,8
